"    1","001079","UNIQUE IDENTIFIER FOR THE PROFILE","'5d3389cd'"
"    2","001011","SHIP OR MOBILE LAND STATION IDENTIFIER","'D5LR9'"
"    3","001103","IMO NUMBER. UNIQUE LLOYD'S REGISTER","9690107"
"    4","001087","WMO MARINE OBSERVING PLATFORM EXTENDED IDENTIFIER","None"
"    5","001019","LONG STATION OR SITE NAME","'Seatrade Red'"
"    6","001080","SHIP LINE NUMBER ACCORDING TO SOOP","'PX30'"
"    7","005036","SHIP TRANSECT NUMBER ACCORDING TO SOOP","2"
"    8","001036","AGENCY IN CHARGE OF OPERATING THE OBSERVING PLATFORM","36003"
"    9","001013","SPEED OF MOTION OF MOVING OBSERVING PLATFORM","None"
"   10","001012","DIRECTION OF MOTION OF MOVING OBSERVING PLATFORM","None"
"   11","004001","YEAR","2020"
"   12","004002","MONTH","9"
"   13","004003","DAY","1"
"   14","004004","HOUR","13"
"   15","004005","MINUTE","47"
"   16","005001","LATITUDE (HIGH ACCURACY)","-22.41157"
"   17","006001","LONGITUDE (HIGH ACCURACY)","166.13193"
"   18","007032","HEIGHT OF SENSOR ABOVE LOCAL GROUND (OR DECK OF MARINE PLATFORM)","None"
"   19","007033","HEIGHT OF SENSOR ABOVE WATER SURFACE","None"
"   20","002002","TYPE OF INSTRUMENTATION FOR WIND MEASUREMENT","None"
"   21","011002","WIND SPEED","None"
"   22","011001","WIND DIRECTION","None"
"   23","007032","HEIGHT OF SENSOR ABOVE LOCAL GROUND (OR DECK OF MARINE PLATFORM)","None"
"   24","007033","HEIGHT OF SENSOR ABOVE WATER SURFACE","None"
"   25","012101","TEMPERATURE/AIR TEMPERATURE","None"
"   26","012103","DEWPOINT TEMPERATURE","None"
"   27","007032","HEIGHT OF SENSOR ABOVE LOCAL GROUND (OR DECK OF MARINE PLATFORM)","None"
"   28","007033","HEIGHT OF SENSOR ABOVE WATER SURFACE","None"
"   29","022001","DIRECTION OF WAVES","None"
"   30","022011","PERIOD OF WAVES","None"
"   31","022021","HEIGHT OF WAVES","None"
"   32","002031","DURATION AND TIME OF CURRENT MEASUREMENT","None"
"   33","002030","METHOD OF CURRENT MEASUREMENT","None"
"   34","022005","DIRECTION OF SEA-SURFACE CURRENT","None"
"   35","022032","SPEED OF SEA-SURFACE CURRENT","None"
"   36","022063","TOTAL WATER DEPTH","None"
"   37","008080","QUALIFIER FOR GTSPP QUALITY FLAG","None"
"   38","033050","GLOBAL GTSPP QUALITY FLAG","None"
"   39","022178","XBT/XCTD LAUNCHER TYPE","None"
"   40","022177","HEIGHT OF XBT/XCTD LAUNCHER","30"
"   41","022067","INSTRUMENT TYPE FOR WATER TEMPERATURE/SALINITY PROFILE MEASUREMENT","52"
"   42","008041","DATA SIGNIFICANCE","13"
"   43","026021","YEAR","2020"
"   44","026022","MONTH","6"
"   45","026023","DAY","23"
"   46","022068","WATER TEMPERATURE PROFILE RECORDER TYPES","72"
"   47","025061","SOFTWARE IDENTIFICATION AND VERSION NUMBER","'Turo: 6.02.0'"
"   48","008041","DATA SIGNIFICANCE","None"
"   49","008080","QUALIFIER FOR GTSPP QUALITY FLAG","None"
"   50","002171","INSTRUMENT SERIAL NUMBER FOR WATER TEMPERATURE PROFILE MEASUREMENT","''"
"   51","002038","METHOD OF WATER TEMPERATURE AND/OR SALINITY MEASUREMENT","6"
"   52","007063","DEPTH BELOW SEA/WATER SURFACE (M)","4.01"
"   53","022045","SEA/WATER TEMPERATURE","22.649"
"   54","002171","INSTRUMENT SERIAL NUMBER FOR WATER TEMPERATURE PROFILE MEASUREMENT","'13444115'"
"   55","002032","INDICATOR FOR DIGITIZATION","1"
"   56","031002","EXTENDED DELAYED DESCRIPTOR REPLICATION FACTOR","1577"
"   57","007063","DEPTH BELOW SEA/WATER SURFACE (M)","0.0"
"   58","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"   59","033050","GLOBAL GTSPP QUALITY FLAG","9"
"   60","022043","SEA/WATER TEMPERATURE","22.640000000000043"
"   61","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"   62","033050","GLOBAL GTSPP QUALITY FLAG","3"
"   63","007063","DEPTH BELOW SEA/WATER SURFACE (M)","0.67"
"   64","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"   65","033050","GLOBAL GTSPP QUALITY FLAG","9"
"   66","022043","SEA/WATER TEMPERATURE","22.650000000000034"
"   67","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"   68","033050","GLOBAL GTSPP QUALITY FLAG","3"
"   69","007063","DEPTH BELOW SEA/WATER SURFACE (M)","1.34"
"   70","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"   71","033050","GLOBAL GTSPP QUALITY FLAG","9"
"   72","022043","SEA/WATER TEMPERATURE","22.650000000000034"
"   73","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"   74","033050","GLOBAL GTSPP QUALITY FLAG","3"
"   75","007063","DEPTH BELOW SEA/WATER SURFACE (M)","2.01"
"   76","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"   77","033050","GLOBAL GTSPP QUALITY FLAG","9"
"   78","022043","SEA/WATER TEMPERATURE","22.650000000000034"
"   79","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"   80","033050","GLOBAL GTSPP QUALITY FLAG","3"
"   81","007063","DEPTH BELOW SEA/WATER SURFACE (M)","2.68"
"   82","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"   83","033050","GLOBAL GTSPP QUALITY FLAG","9"
"   84","022043","SEA/WATER TEMPERATURE","22.650000000000034"
"   85","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"   86","033050","GLOBAL GTSPP QUALITY FLAG","3"
"   87","007063","DEPTH BELOW SEA/WATER SURFACE (M)","3.35"
"   88","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"   89","033050","GLOBAL GTSPP QUALITY FLAG","9"
"   90","022043","SEA/WATER TEMPERATURE","22.650000000000034"
"   91","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"   92","033050","GLOBAL GTSPP QUALITY FLAG","1"
"   93","007063","DEPTH BELOW SEA/WATER SURFACE (M)","4.02"
"   94","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"   95","033050","GLOBAL GTSPP QUALITY FLAG","9"
"   96","022043","SEA/WATER TEMPERATURE","22.650000000000034"
"   97","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"   98","033050","GLOBAL GTSPP QUALITY FLAG","1"
"   99","007063","DEPTH BELOW SEA/WATER SURFACE (M)","4.68"
"  100","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  101","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  102","022043","SEA/WATER TEMPERATURE","22.640000000000043"
"  103","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  104","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  105","007063","DEPTH BELOW SEA/WATER SURFACE (M)","5.35"
"  106","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  107","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  108","022043","SEA/WATER TEMPERATURE","22.640000000000043"
"  109","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  110","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  111","007063","DEPTH BELOW SEA/WATER SURFACE (M)","6.02"
"  112","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  113","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  114","022043","SEA/WATER TEMPERATURE","22.640000000000043"
"  115","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  116","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  117","007063","DEPTH BELOW SEA/WATER SURFACE (M)","6.69"
"  118","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  119","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  120","022043","SEA/WATER TEMPERATURE","22.640000000000043"
"  121","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  122","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  123","007063","DEPTH BELOW SEA/WATER SURFACE (M)","7.36"
"  124","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  125","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  126","022043","SEA/WATER TEMPERATURE","22.640000000000043"
"  127","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  128","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  129","007063","DEPTH BELOW SEA/WATER SURFACE (M)","8.03"
"  130","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  131","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  132","022043","SEA/WATER TEMPERATURE","22.629999999999995"
"  133","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  134","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  135","007063","DEPTH BELOW SEA/WATER SURFACE (M)","8.7"
"  136","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  137","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  138","022043","SEA/WATER TEMPERATURE","22.629999999999995"
"  139","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  140","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  141","007063","DEPTH BELOW SEA/WATER SURFACE (M)","9.37"
"  142","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  143","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  144","022043","SEA/WATER TEMPERATURE","22.629999999999995"
"  145","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  146","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  147","007063","DEPTH BELOW SEA/WATER SURFACE (M)","10.04"
"  148","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  149","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  150","022043","SEA/WATER TEMPERATURE","22.629999999999995"
"  151","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  152","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  153","007063","DEPTH BELOW SEA/WATER SURFACE (M)","10.71"
"  154","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  155","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  156","022043","SEA/WATER TEMPERATURE","22.629999999999995"
"  157","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  158","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  159","007063","DEPTH BELOW SEA/WATER SURFACE (M)","11.38"
"  160","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  161","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  162","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  163","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  164","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  165","007063","DEPTH BELOW SEA/WATER SURFACE (M)","12.05"
"  166","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  167","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  168","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  169","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
"  170","033050","GLOBAL GTSPP QUALITY FLAG","1"
"  171","007063","DEPTH BELOW SEA/WATER SURFACE (M)","12.72"
"  172","008080","QUALIFIER FOR GTSPP QUALITY FLAG","13"
"  173","033050","GLOBAL GTSPP QUALITY FLAG","9"
"  174","022043","SEA/WATER TEMPERATURE","22.620000000000005"
"  175","008080","QUALIFIER FOR GTSPP QUALITY FLAG","11"
